policy,machines, lead_time_p, mttf, a, ordering_cost, emergency_cost, max_batch_size, sort_degradation, best_value, last_value, heur_values,  num_gens, samples
bsp,5,0.2,20,1,2,5,5,1,1.1377,1.1377,1.7069,3,20000
probsp,5,0.2,20,1,2,5,5,1,1.1339,1.1339,1.2757,3,20000
bsp,5,0.2,20,1,2,10,3,1,1.6721,1.6721,2.9262,3,20000
probsp,5,0.2,20,1,2,10,3,1,1.6277,1.6277,1.7575,3,20000
bsp,5,0.2,20,1,2,10,5,1,1.6589,1.6589,2.9262,3,20000
probsp,5,0.2,20,1,2,10,5,1,1.6297,1.6297,1.736,3,20000
bsp,5,0.5,5,1,2,5,3,1,2.6665,2.6665,6.3609,3,20000
probsp,5,0.5,5,1,2,5,3,1,2.6712,2.675,3.2121,3,20000
bsp,5,0.5,5,1,2,5,5,1,2.6715,2.6715,4.6119,3,20000
probsp,5,0.5,5,1,2,5,5,1,2.6686,2.6711,3.2031,3,20000
bsp,5,0.5,5,1,2,10,3,1,3.4649,3.4649,7.1933,3,20000
probsp,5,0.5,5,1,2,10,3,1,3.4483,3.4623,4.0559,3,20000
bsp,5,0.5,5,1,2,10,5,1,3.4305,3.4305,4.7797,3,20000
probsp,5,0.5,5,1,2,10,5,1,3.4025,3.4025,4.0547,3,20000
bsp,5,0.5,10,1,2,5,3,1,1.6395,1.6395,2.2288,3,20000
probsp,5,0.5,10,1,2,5,3,1,1.6374,1.6374,1.9542,3,20000
bsp,5,0.5,10,1,2,5,5,1,1.6606,1.6606,3.3318,3,20000
probsp,5,0.5,10,1,2,5,5,1,1.6414,1.6414,1.954,3,20000
bsp,5,0.5,10,1,2,10,3,1,2.0496,2.0496,5.7116,3,20000
probsp,5,0.5,10,1,2,10,3,1,2.0541,2.0646,2.3816,3,20000
bsp,5,0.5,10,1,2,10,5,1,2.0575,2.0575,5.7116,3,20000
probsp,5,0.5,10,1,2,10,5,1,2.0463,2.0463,2.3819,3,20000
bsp,5,0.5,20,1,2,5,3,1,0.9729,0.9729,1.7069,3,20000
probsp,5,0.5,20,1,2,5,3,1,0.9435,0.9435,1.1002,3,20000
bsp,5,0.5,20,1,2,5,5,1,0.9627,0.9627,1.7069,3,20000
probsp,5,0.5,20,1,2,5,5,1,0.9505,0.9602,1.0764,3,20000
bsp,5,0.5,20,1,2,10,3,1,1.1963,1.1963,2.9262,3,20000
probsp,5,0.5,20,1,2,10,3,1,1.1755,1.1755,1.3284,3,20000
bsp,5,0.5,20,1,2,10,5,1,1.2308,1.2308,2.9262,3,20000
probsp,5,0.5,20,1,2,10,5,1,1.1762,1.1762,1.3053,3,20000
bsp,10,0.2,5,1,2,5,3,1,7.5533,7.5533,12.726,3,100000
probsp,10,0.2,5,1,2,5,3,1,7.5084,7.5201,8.4169,3,100000
