,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,ppopro_sorted_cost,dqnpro_sorted_cost,dqnpro_cost,optuna_cost,optuna_trial,ppopro_cost,dcl_cost,dcl_probsp_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,DCLPro vs BSP,DQNPro vs BSP,PPOPro vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP,DCLPro vs ProBSP,DQNPro vs ProBSP,PPOPro vs ProBSP
30,31,1,1,10,5.0,1,10,1,0.809455,0,71.25,0.12094,22471,0.126725,0.12095,0.12095,0.0,0.0,,,,,,0.0981,0.8505908296322834,0.8434440456850597,0.8505784756410177,,0.8788073456832066,,,-0.047833636513973855,-8.268562923760644e-05,,0.1888539771787663,,
31,32,1,2,10,5.0,1,10,1,0.716235,0,57.5,0.2684800000000001,29572,0.274895,0.272375,0.272375,0.0,0.0,,,,,,0.193,0.625150963021913,0.6161944054674793,0.619712803758543,,0.7305353689780588,,,-0.023893772348032964,-0.014507598331346355,,0.28113825983313495,,
32,33,1,3,10,5.0,1,10,1,0.6505850000000002,0,46.25,0.359345,10688,0.360565,0.36449,0.36449,0.0,0.0,,,,,,0.2447,0.4476586456804262,0.4457834103153317,0.4397503785054991,,0.6238769722634245,,,-0.003395066022902778,-0.014317716957241522,,0.31903880671777823,,
33,34,1,4,10,5.0,1,10,1,0.6213350000000001,0,42.5,0.4273899999999999,21485,0.42766,0.4364000000000001,0.4364000000000001,0.0,0.0,,,,,,0.28,0.31214240305149427,0.31170785486090447,0.297641368987744,,0.5493574319811374,,,-0.000631741500737274,-0.021081447857928922,,0.3448606659023372,,
34,35,1,5,10,5.0,1,10,1,0.60825,0,35.0,0.47675,54292,0.4793199999999999,0.4830550000000001,0.4830550000000001,0.0,0.0,,,,,,0.3044,0.21619399917796953,0.21196876284422533,0.20582819564323854,,0.49954788327168104,,,-0.005390665967488003,-0.01322496067121157,,0.36151022548505507,,
35,36,1,1,20,5.0,1,10,0,0.4867,0,85.0,0.063005,24787,0.074855,0.06186000000000001,0.06186000000000001,0.0,0.0,,,,,,0.0499,0.8705465379083624,0.846198890486953,0.8728991164988699,,0.8974727758372715,,,-0.18808031108642168,0.018173160860249078,,0.20799936512975167,,
36,37,1,2,20,5.0,1,10,0,0.4886000000000001,0,78.75,0.137345,10415,0.139545,0.139895,0.139895,0.0,0.0,,,,,,0.0978,0.7189009414654114,0.7143982808022924,0.7136819484240688,,0.7998362668849776,,,-0.01601805671848271,-0.01856638392369578,,0.28792456951472567,,
37,38,1,3,20,5.0,1,10,0,0.48775,0,72.5,0.185085,21829,0.1853499999999999,0.188535,0.188535,0.0,0.0,,,,,,0.1294,0.6205330599692466,0.6199897488467455,0.6134597642234751,,0.7347001537672989,,,-0.0014317745900527012,-0.018640084285598556,,0.3008617662155227,,
38,39,1,4,20,5.0,1,10,0,0.4876499999999999,0,67.5,0.219595,44712,0.22407,0.22278,0.22278,0.0,0.0,,,,,,0.1436,0.5496872757100378,0.5405106121193478,0.5431559520147646,,0.7055265046652311,,,-0.02037842391675575,-0.014503973223434018,,0.3460688995651085,,
39,40,1,5,20,5.0,1,10,0,0.4875,0,68.75,0.244555,15742,0.24825,0.248305,0.248305,0.0,0.0,,,,,,0.1564,0.49834871794871793,0.49076923076923074,0.49065641025641027,,0.6791794871794871,,,-0.015109075668050148,-0.015333973952689593,,0.36047105967982657,,
