,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,optuna_cost,optuna_trial,dcl_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP
11,12,1,2,10,5.0,1,5,0,0.4758,0,65.0,0.189425,23800,0.19204,0.18985,0.18985,,,0.1941,0.6018810424548129,0.596385035729298,0.6009878100042035,0.5920554854981085,-0.013804935990497444,-0.0022436320443446267,-0.02467995248779192
12,13,1,3,10,5.0,1,5,0,0.4755,0,61.25,0.24188,16544,0.243845,0.240655,0.240655,,,0.2455,0.4913144058885383,0.48718191377497366,0.49389064143007355,0.48370136698212407,-0.00812386307259796,0.0050644947908053736,-0.014966098892012503
13,14,1,4,10,5.0,1,5,0,0.4765499999999999,0,57.5,0.27886,42669,0.2809049999999999,0.28054,0.28054,,,0.2797,0.4148357989717762,0.41054453887315084,0.4113104606022452,0.4130731297870107,-0.007333428960768515,-0.006024528437208688,-0.003012264218604344
14,15,1,5,10,5.0,1,5,0,0.4764,0,52.5,0.304565,53667,0.30489,0.3050499999999999,0.3050499999999999,,,0.305,0.3606947942905122,0.3600125944584383,0.35967674223341756,0.35978169605373633,-0.0010670956938585187,-0.0015924351123730639,-0.0014282665440875305
15,16,1,1,20,5.0,1,5,0,0.2435,0,87.5,0.05001,12153,0.05199000000000002,0.225065,0.05245499999999999,,,0.0566,0.7946201232032855,0.7864887063655029,0.7845790554414785,0.7675564681724847,-0.039592081583683734,-0.04889022195560866,-0.1317736452709458
16,17,1,2,20,5.0,1,5,0,0.243425,0,82.5,0.095915,52671,0.24395,0.099525,0.099525,,,0.0987,0.6059772003697237,-0.0021567217828899975,0.591147170586423,0.5945363048166786,-1.5433978001355366,-0.037637491528957956,-0.029036125736328997
17,18,1,3,20,5.0,1,5,0,0.2439,0,80.0,0.12206,16193,0.2432,0.12614,0.12614,,,0.1262,0.4995489954899549,0.002870028700287028,0.4828208282082821,0.48257482574825744,-0.9924627232508602,-0.033426183844011144,-0.033917745371128995
18,19,1,4,20,5.0,1,5,0,0.2436,0,77.5,0.141905,97331,0.143055,0.143175,0.143175,,,0.1439,0.4174671592775041,0.41274630541871926,0.4122536945812808,0.40927750410509034,-0.008104013248299808,-0.008949649413339863,-0.014058701243789837
19,20,1,5,20,5.0,1,5,0,0.2439,0,77.5,0.15556,49825,0.157205,0.15581,0.15581,,,0.1565,0.36219762197621974,0.35545305453054526,0.36117261172611725,0.3583435834358344,-0.010574697865775312,-0.0016070969400874275,-0.0060426844947286985
40,41,1,1,5,1.0,1,5,1,0.64835,0,35.0,0.405425,14552,0.40876,0.40686,0.40686,,,0.4045,0.37468188478445286,0.36953805814760543,0.37246857407264594,0.3761085833269067,-0.008225935746439003,-0.0035394955910464814,0.002281556391440966
41,42,1,2,5,1.0,1,5,1,0.5889299999999998,0,25.0,0.502795,74737,0.49782,0.50024,0.50024,,,0.4971,0.1462567707537396,0.15470429422851592,0.15059514713123776,0.15592685038968956,0.009894688690221675,0.0050815938901539875,0.011326683837349229
42,43,1,3,5,1.0,1,5,1,0.59654,0,15.0,0.56365,52072,0.56286,0.564555,0.564555,,,0.5642,0.05513460958192238,0.05645891306534337,0.053617527743319696,0.054212626144097505,0.00140157899405652,-0.0016056063159763058,-0.0009757828439635421
43,44,1,4,5,1.0,1,5,1,0.620805,0,5.0,0.6135550000000001,20964,0.61759,0.611565,0.611565,,,0.6106,0.011678385322283128,0.005178759836019489,0.01488390074177886,0.016438334098468954,-0.006576427541133067,0.0032433930128514103,0.004816194147224032
45,46,1,1,5,5.0,1,5,1,0.6365700000000001,0,55.0,0.21397,76147,0.18851,0.183225,0.183225,,,0.1869,0.6638704305889377,0.7038660320153322,0.7121683396955559,0.7063952118384467,0.11898864326774773,0.14368836752815814,0.12651306257886613
50,1,5,1,10,1.0,1,5,2,1.350965,0,70.0,0.859085,64682,0.8392750000000001,0.8130850000000001,0.8048549999999999,,,0.8156,0.36409529484479614,0.3787588871658406,0.40423697135010905,0.3962833974233233,0.023059417869011663,0.06312530192006625,0.05061780848228056
51,2,5,2,10,1.0,1,5,2,1.333875,0,61.25,1.03556,15129,1.068945,1.03925,1.023965,,,1.0152,0.2236453940586636,0.19861681192015737,0.23233811264173923,0.23890919314028664,-0.0322385955425084,0.01119684035690836,0.01966085982463588
52,3,5,3,10,1.0,1,5,2,1.41058,0,53.75,1.153505,70667,1.163605,1.146885,1.130015,,,1.1412,0.18224772788498345,0.17508755263792194,0.19890045229621856,0.19097108990627967,-0.008755922167654235,0.020364020962197832,0.010667487353760937
53,4,5,4,10,1.0,1,5,3,1.458135,1,65.0,1.23763,20902,1.23915,1.22241,1.223615,,,1.2136,0.15122399503475326,0.1501815675503297,0.16083558792567224,0.16770395059442367,-0.0012281538101047693,0.011324062926722939,0.0194161421426436
54,5,5,5,10,1.0,1,5,3,1.45021,1,60.0,1.30128,43188,1.285205,1.28437,1.294325,,,1.2728,0.10269547169030692,0.11378007323077352,0.1074913288420298,0.12233400679901536,0.01235322144350183,0.005344737489241397,0.021886142874708026
55,6,5,1,20,1.0,1,5,1,0.92057,0,85.0,0.4882400000000001,85442,0.53908,0.653295,0.50091,,,0.4985,0.4696329448059353,0.41440629175402194,0.4558697328828878,0.45848767611371216,-0.10412911682778934,-0.025950352285760783,-0.021014255284286167
56,7,5,2,20,1.0,1,5,1,0.9481649999999998,0,81.25,0.592395,36323,0.6802799999999999,0.6840649999999999,0.6307849999999999,,,0.6044,0.3752195029346157,0.28252993940928,0.3347307694335901,0.36255820453191145,-0.1483554047552729,-0.06480473332826901,-0.020265194675849803
57,8,5,3,20,1.0,1,5,1,0.9780949999999999,0,77.5,0.6703700000000001,25779,0.7723949999999999,0.7772650000000001,0.705145,,,0.689,0.31461667833901596,0.21030676979230034,0.279062872215889,0.29556944877542574,-0.1521920730342942,-0.05187433805212029,-0.027790623088741754
58,9,5,4,20,1.0,1,5,1,1.003345,0,75.0,0.7270100000000002,65277,0.787055,0.822385,0.7672850000000001,,,0.7238,0.2754137410362336,0.21556892195605698,0.2352730117756104,0.27861303938326293,-0.08259171125569081,-0.055398137577199684,0.004415345043397142
59,10,5,5,20,1.0,1,5,1,1.02345,0,72.5,0.7715099999999999,1780,0.8248150000000001,0.8461399999999999,0.78843,,,0.7746,0.24616737505496122,0.19408373638184562,0.2296350578924227,0.24314817528946214,-0.06909178105274094,-0.021931018392503075,-0.00400513279153872
60,11,5,1,10,5.0,1,5,2,1.341105,0,73.75,0.440325,30638,0.50621,0.5028050000000001,0.46678,,,0.4533,0.67167000346729,0.6225426047923167,0.6519437329664717,0.6619951457939535,-0.14962811559643452,-0.0600806222676431,-0.029466871061147922
61,12,5,2,10,5.0,1,5,2,1.325065,0,63.75,0.8135500000000002,23481,0.9378400000000001,0.86667,0.826735,,,0.8131,0.38603011927716735,0.29223094716108255,0.3760796640164822,0.38636972525876084,-0.1527748755454488,-0.016206748202322877,0.0005531313379634594
62,13,5,3,10,5.0,1,5,2,1.41607,0,56.25,1.02111,72024,1.053405,1.00688,0.9911350000000001,,,0.9981,0.27891276561186945,0.2561066896410488,0.3000805044948342,0.2951619623323706,-0.03162734671093219,0.02935530941818204,0.022534300907835567
63,14,5,4,10,5.0,1,5,3,1.43856,1,65.0,1.143875,11330,1.13943,1.1213,1.09036,,,1.0919,0.2048472083194306,0.20793710377043717,0.2420476031587143,0.24097708819931038,0.0038859141077478153,0.046783958037372946,0.0454376570866571
64,15,5,5,10,5.0,1,5,3,1.43796,1,61.25,1.21769,63234,1.20696,1.183025,1.18001,,,1.1795,0.15318228601630085,0.1606442460151881,0.17938607471696008,0.17974074383153907,0.008811766541566332,0.03094383628016978,0.031362662089694376
